,Total (Turista+Excursionista),Frontera: La Aurora,Frontera: Valle Nuevo,Frontera: San Cristóbal,Región: América Del Centro,Región: América Del Norte,Región: Europa
2009-01-01,149910.0,81271.0,16199.0,8494.0,93828.0,36020.0,12061.0
2009-02-01,127266.0,69663.0,17748.0,6972.0,73968.0,33953.0,12642.0
2009-03-01,158752.0,84051.0,27233.0,12783.0,96375.0,41462.0,13676.0
2009-04-01,171965.0,80247.0,36563.0,7678.0,114257.0,39577.0,10562.0
2009-05-01,124507.0,64456.0,26918.0,5109.0,83276.0,29215.0,6245.0
2009-06-01,151401.0,81382.0,30063.0,8133.0,95678.0,41999.0,6653.0
2009-07-01,137565.0,74653.0,28306.0,5667.0,96240.0,29156.0,6326.0
2009-08-01,179287.0,75763.0,51363.0,10285.0,125700.0,36426.0,10170.0
2009-09-01,132740.0,61861.0,33222.0,7948.0,97994.0,22141.0,6324.0
2009-10-01,153103.0,72828.0,35032.0,14376.0,111230.0,27954.0,7377.0
2009-11-01,173570.0,82212.0,38179.0,18012.0,125777.0,30050.0,10931.0
2009-12-01,219540.0,103686.0,45868.0,15224.0,157384.0,46405.0,9223.0
2010-01-01,162289.0,84867.0,19011.0,13015.0,106459.0,37842.0,9873.0
2010-02-01,132478.0,68976.0,20634.0,10594.0,81043.0,33665.0,10714.0
2010-03-01,163285.0,88502.0,21853.0,8004.0,95807.0,48406.0,11484.0
2010-04-01,170807.0,76253.0,39164.0,11624.0,119608.0,34887.0,8727.0
2010-05-01,141234.0,64915.0,32332.0,9099.0,97324.0,30005.0,7041.0
2010-06-01,155422.0,84460.0,33830.0,8445.0,99408.0,42825.0,6520.0
2010-07-01,199607.0,102148.0,41821.0,8903.0,125097.0,54083.0,12284.0
2010-08-01,183866.0,79034.0,49007.0,10321.0,126966.0,37392.0,11594.0
2010-09-01,130705.0,62772.0,29918.0,10137.0,95424.0,21902.0,6155.0
2010-10-01,157569.0,76192.0,32623.0,17995.0,114267.0,27829.0,7993.0
2010-11-01,179475.0,84269.0,38972.0,18169.0,129712.0,31036.0,11268.0
2010-12-01,227340.0,99374.0,49150.0,18575.0,166492.0,44192.0,9704.0
2011-01-01,169657.0,81528.0,19776.0,16797.0,115118.0,35379.0,10214.0
2011-02-01,139812.0,69003.0,20017.0,13545.0,88453.0,32719.0,10924.0
2011-03-01,169887.0,77452.0,31772.0,20303.0,111529.0,39784.0,10649.0
2011-04-01,191584.0,76906.0,43035.0,14725.0,138100.0,37221.0,9218.0
2011-05-01,145853.0,67989.0,33629.0,7710.0,102130.0,30096.0,6639.0
2011-06-01,162952.0,82227.0,33765.0,8687.0,108322.0,41302.0,6452.0
2011-07-01,200441.0,97440.0,41316.0,8765.0,131238.0,51293.0,10530.0
2011-08-01,174701.0,77293.0,39981.0,9559.0,124050.0,33714.0,10035.0
2011-09-01,141112.0,65207.0,31348.0,8406.0,105053.0,23051.0,5963.0
2011-10-01,151985.0,71504.0,33129.0,16619.0,110696.0,26402.0,7459.0
2011-11-01,187248.0,85769.0,43404.0,17722.0,135960.0,31773.0,11263.0
2011-12-01,243658.0,100923.0,54534.0,24431.0,181833.0,45520.0,9261.0
2012-01-01,177077.0,80805.0,20556.0,17423.0,122187.0,36504.0,9565.0
2012-02-01,147756.0,69673.0,22229.0,14396.0,93783.0,35589.0,10801.0
2012-03-01,186156.0,84290.0,33406.0,21370.0,122245.0,44941.0,11173.0
2012-04-01,182818.0,74743.0,37919.0,14315.0,132201.0,34318.0,8251.0
2012-05-01,152066.0,71823.0,31566.0,8166.0,105833.0,32308.0,6557.0
2012-06-01,173189.0,87683.0,35839.0,8587.0,112947.0,46087.0,6124.0
2012-07-01,199270.0,96093.0,40237.0,8582.0,128985.0,52461.0,9777.0
2012-08-01,170586.0,72094.0,39563.0,10088.0,119879.0,34230.0,9099.0
2012-09-01,147777.0,65590.0,34115.0,8671.0,109119.0,25023.0,5878.0
2012-10-01,167938.0,75312.0,36369.0,16111.0,122642.0,30012.0,7802.0
2012-11-01,195327.0,87621.0,39515.0,19397.0,140748.0,34723.0,12078.0
2012-12-01,238763.0,102147.0,40513.0,22390.0,169864.0,50472.0,10324.0
2013-01-01,170811.0,79816.0,14100.0,17445.0,114902.0,36322.0,10470.0
2013-02-01,140102.0,68700.0,15276.0,14381.0,85688.0,35351.0,11147.0
2013-03-01,217018.0,90702.0,41529.0,21261.0,146779.0,50649.0,10944.0
2013-04-01,179452.0,72051.0,50075.0,14077.0,127743.0,33904.0,8564.0
2013-05-01,179173.0,70872.0,58258.0,8180.0,130484.0,33644.0,6666.0
2013-06-01,197112.0,89021.0,52398.0,8593.0,132712.0,49252.0,6918.0
2013-07-01,211522.0,95070.0,56161.0,8561.0,137514.0,54820.0,10078.0
2013-08-01,197075.0,77804.0,61230.0,10255.0,141788.0,37058.0,9376.0
2013-09-01,163794.0,66442.0,51369.0,8704.0,124234.0,24482.0,6461.0
2013-10-01,167563.0,79438.0,31365.0,16334.0,120171.0,30372.0,8507.0
2013-11-01,202890.0,92265.0,41319.0,19551.0,145322.0,34836.0,12817.0
2013-12-01,262383.0,112230.0,53900.0,22592.0,191989.0,51316.0,10265.0
2014-01-01,219382.0,89922.0,46152.0,18029.0,154959.0,41094.0,12665.0
2014-02-01,173406.0,77948.0,31889.0,15234.0,112970.0,37693.0,13163.0
2014-03-01,200075.0,91935.0,33009.0,21835.0,128947.0,48368.0,13155.0
2014-04-01,229295.0,89382.0,62420.0,14653.0,165671.0,43188.0,10732.0
2014-05-01,190197.0,80202.0,56025.0,8701.0,135475.0,36595.0,8130.0
2014-06-01,200034.0,98962.0,44256.0,9181.0,134905.0,49276.0,6933.0
2014-07-01,237492.0,102567.0,65935.0,9562.0,162543.0,53865.0,10928.0
2014-08-01,225048.0,86299.0,69906.0,11007.0,164207.0,39112.0,11304.0
2014-09-01,187618.0,73502.0,58338.0,9328.0,144305.0,26032.0,7332.0
2014-10-01,223588.0,86176.0,72615.0,19244.0,170930.0,32191.0,9954.0
2014-11-01,247955.0,95629.0,67056.0,29217.0,187758.0,36805.0,12941.0
2014-12-01,325300.0,117614.0,92561.0,29258.0,249632.0,53100.0,12146.0
